Wall time,Step,Value
1654067437.5550935,199,-9851.041015625
1654067437.5974896,249,-9718.13671875
1654067437.8212085,549,-10188.15234375
1654067437.9616625,749,-9776.8251953125
1654067438.0028446,799,-10107.6513671875
1654067438.096546,949,-10209.9912109375
1654067438.787613,999,-9382.431640625
1654067438.9641168,1049,-9723.248046875
1654067439.304456,1149,-10121.41015625
1654067439.4719117,1199,-9899.9970703125
1654067439.9961433,1349,-9336.376953125
1654067440.2199404,1399,-10059.1640625
1654067442.1123838,1949,-9896.302734375
1654067442.5219002,2049,-10136.3779296875
1654067443.7696583,2399,-9531.1875
1654067443.9389598,2449,-9987.9140625
1654067444.1207733,2499,-9459.3134765625
1654067444.4741263,2599,-9590.1875
1654067445.0148206,2749,-10039.84765625
1654067445.5545685,2899,-9589.244140625
1654067446.074406,3049,-9809.1015625
1654067446.2497733,3099,-9622.6044921875
1654067446.423721,3149,-10094.455078125
1654067446.6101553,3199,-10123.26953125
1654067446.932429,3299,-9693.23828125
1654067447.0844216,3349,-10192.0146484375
1654067447.2818623,3399,-9745.275390625
1654067447.4585767,3449,-10285.4326171875
1654067447.7975788,3549,-10249.62890625
1654067447.9456522,3599,-10217.12890625
1654067448.9277623,3899,-9918.716796875
1654067449.258396,3999,-9524.333984375
1654067449.810272,4149,-9857.50390625
1654067450.3327568,4299,-10087.765625
1654067451.0152996,4499,-10169.6162109375
1654067452.6116788,4999,-9864.9248046875
1654067453.2579377,5199,-9730.14453125
1654067453.7482212,5349,-10078.3037109375
1654067453.917375,5399,-9306.0244140625
1654067454.2347636,5499,-10230.396484375
1654067455.411163,5849,-9868.0546875
1654067456.2769918,6099,-9844.345703125
1654067456.9713337,6299,-10074.2734375
1654067457.1328015,6349,-10226.9638671875
1654067457.440123,6449,-9624.2880859375
1654067457.756858,6549,-10379.9501953125
1654067458.729494,6849,-9743.2900390625
1654067458.8823137,6899,-9603.3583984375
1654067460.0537708,7249,-9751.7392578125
1654067460.4167216,7349,-10266.203125
1654067460.5854664,7399,-10007.826171875
1654067461.1210043,7549,-10373.5966796875
1654067462.2983227,7899,-10117.9990234375
1654067462.7653847,8049,-9921.322265625
1654067463.066046,8149,-10175.4150390625
1654067463.3686771,8249,-10103.1572265625
1654067464.3550477,8549,-10227.009765625
1654067464.5201406,8599,-10224.6103515625
1654067464.7005746,8649,-9649.13671875
1654067465.6035264,8899,-10025.548828125
1654067466.303577,9099,-9961.4326171875
1654067466.8382883,9249,-9984.2919921875
1654067467.0105891,9299,-9714.896484375
1654067467.1870413,9349,-9865.7529296875
1654067467.9087512,9549,-10070.810546875
1654067468.0828552,9599,-10334.3212890625
1654067468.2640302,9649,-9402.9296875
1654067469.4754863,9999,-9600.736328125
1654067470.0083103,10149,-10129.4755859375
1654067470.1965125,10199,-10107.9765625
1654067470.372993,10249,-10187.650390625
1654067470.552639,10299,-9958.359375
1654067470.892619,10399,-10123.056640625
1654067471.6037936,10599,-9423.259765625
1654067471.9092932,10699,-10171.9306640625
1654067472.230677,10799,-9623.2333984375
1654067472.874708,10999,-10099.9951171875
1654067473.034828,11049,-10036.2001953125
1654067473.2034752,11099,-10041.365234375
1654067473.6809578,11249,-9839.859375
1654067474.4809272,11499,-9621.41796875
1654067476.1224828,11999,-10190.0830078125
1654067476.4531968,12099,-10090.8359375
1654067476.9305117,12249,-9338.919921875
1654067477.0833485,12299,-9773.3271484375
1654067477.2463121,12349,-9884.4970703125
1654067478.5638392,12749,-10120.06640625
1654067479.2112837,12949,-9289.423828125
1654067479.3666444,12999,-9336.3056640625
1654067479.520479,13049,-9798.314453125
1654067481.3104973,13599,-9724.47265625
1654067481.7828524,13749,-10098.8876953125
1654067482.1110969,13849,-9429.783203125
1654067482.4404676,13949,-9868.513671875
1654067482.7914217,14049,-9639.8388671875
1654067483.1199946,14149,-10262.9951171875
1654067483.598838,14299,-9777.0751953125
1654067484.0974789,14449,-9624.9150390625
1654067484.434339,14549,-9861.224609375
1654067485.2605543,14799,-9947.47265625
1654067485.5923533,14899,-10419.2529296875
1654067485.752887,14949,-10021.375
1654067487.0549247,15349,-9868.2041015625
1654067487.4116561,15449,-9407.1650390625
1654067488.0606205,15649,-10473.0439453125
1654067488.9396913,15849,-9951.7451171875
1654067489.498401,15949,-10177.0302734375
1654067489.7385418,15999,-10464.8447265625
1654067490.3432214,16149,-9755.525390625
1654067493.1694674,16899,-9706.404296875
1654067493.324473,16949,-9934.984375
1654067494.1877947,17199,-9112.0830078125
1654067494.5652304,17299,-10019.953125
1654067494.7545743,17349,-9979.775390625
1654067495.7780457,17649,-9372.2626953125
1654067496.0964274,17749,-10164.5712890625
1654067496.7978482,17949,-9478.0146484375
1654067497.480328,18149,-9933.904296875
1654067497.6575227,18199,-9373.99609375
1654067497.8486784,18249,-10139.294921875
1654067498.0047705,18299,-9517.5185546875
1654067498.186775,18349,-10096.982421875
1654067498.3510683,18399,-9817.9130859375
1654067500.1891427,18949,-9738.05859375
1654067501.6110985,19349,-9338.947265625
1654067502.2928832,19549,-9416.9873046875
1654067502.6298516,19649,-9736.8486328125
1654067502.9564548,19749,-9768.9326171875
1654067503.457667,19899,-9909.0595703125
1654067504.3817956,20149,-9371.1796875
1654067504.697242,20249,-9471.2509765625
1654067505.5600598,20499,-9819.1904296875
1654067506.2606704,20699,-10104.552734375
1654067506.4484913,20749,-9614.8408203125
1654067506.6315796,20799,-9655.2900390625
1654067507.7324727,21099,-10176.5283203125
1654067507.9098425,21149,-10178.7236328125
1654067508.467957,21299,-10315.9755859375
1654067508.6330523,21349,-9304.4267578125
1654067509.3630495,21549,-9693.26171875
1654067510.2308013,21799,-9789.130859375
1654067510.3974948,21849,-9442.802734375
1654067510.5546188,21899,-9868.1328125
1654067510.89251,21999,-10016.76171875
1654067511.240829,22099,-9844.6435546875
1654067511.5804684,22199,-10019.4716796875
1654067511.748382,22249,-10053.064453125
1654067512.0636625,22349,-9115.505859375
1654067512.7508657,22549,-9829.92578125
1654067513.1001327,22649,-9235.2705078125
1654067513.8065867,22849,-9910.712890625
1654067514.516251,23049,-9012.1171875
1654067514.674546,23099,-9085.7978515625
1654067515.3198256,23299,-9989.802734375
1654067515.4872944,23349,-10046.2265625
1654067515.817064,23449,-10123.7001953125
1654067516.1433058,23549,-9604.6845703125
1654067516.8450067,23749,-9135.40625
1654067517.0063066,23799,-9963.4833984375
1654067517.818373,24049,-10212.447265625
1654067517.976651,24099,-10049.099609375
1654067518.4661148,24249,-10198.4716796875
1654067519.0083687,24399,-9592.4853515625
1654067519.1914177,24449,-9247.5947265625
1654067519.3737764,24499,-9092.0830078125
1654067519.7345414,24599,-9827.1025390625
1654067520.2326374,24749,-9428.7373046875
1654067520.8881283,24949,-9484.962890625
1654067521.5293436,25149,-9109.123046875
1654067521.691007,25199,-9572.9560546875
1654067522.654954,25499,-9748.3603515625
1654067522.810188,25549,-9627.6943359375
1654067522.9682148,25599,-10173.3857421875
1654067523.121172,25649,-10066.86328125
1654067523.278641,25699,-9413.2138671875
1654067523.4381533,25749,-9342.03125
1654067523.914023,25899,-9231.857421875
1654067524.0731962,25949,-9627.1171875
1654067524.228391,25999,-9329.04296875
1654067526.5074925,26699,-9056.3486328125
1654067526.690415,26749,-9721.5712890625
1654067527.009496,26849,-9659.4677734375
1654067527.17838,26899,-9011.8203125
1654067527.3474946,26949,-9688.0966796875
1654067527.6685996,27049,-9632.115234375
1654067527.9813182,27149,-9603.31640625
1654067528.300262,27249,-9100.697265625
1654067528.6349316,27349,-9350.212890625
1654067528.80784,27399,-9550.6337890625
1654067529.3186316,27549,-9546.7998046875
1654067529.6526396,27649,-10354.001953125
1654067530.1251874,27799,-9298.52734375
1654067530.2859275,27849,-9665.3310546875
1654067531.247002,28149,-9384.2421875
1654067531.4072828,28199,-9822.3203125
1654067531.567977,28249,-9061.8359375
1654067532.2175045,28449,-9498.4013671875
1654067532.6956513,28599,-9483.5947265625
1654067533.016505,28699,-9892.38671875
1654067533.544411,28849,-9829.5263671875
1654067534.2471154,29049,-9802.833984375
1654067534.8937151,29249,-9176.474609375
1654067535.0511053,29299,-9457.333984375
1654067535.5858314,29449,-9216.462890625
1654067535.9021475,29549,-9684.6962890625
1654067536.06433,29599,-9749.7939453125
1654067536.5579967,29749,-9632.1298828125
1654067536.8882287,29849,-9314.6201171875
1654067537.2765722,29949,-9062.712890625
1654067537.463077,29999,-9769.990234375
1654067537.9701855,30149,-9918.720703125
1654067538.151528,30199,-9186.7353515625
1654067539.002641,30449,-9637.8388671875
1654067539.8559377,30699,-10090.0244140625
1654067540.0189064,30749,-10068.587890625
1654067540.345411,30849,-9470.576171875
1654067540.9955378,31049,-9672.8427734375
1654067541.3402188,31149,-9507.3935546875
1654067541.5046535,31199,-9400.9609375
1654067542.0036066,31349,-9869.048828125
1654067542.3217933,31449,-9806.46875
1654067542.493966,31499,-9627.724609375
1654067543.1969635,31699,-9761.2666015625
1654067543.8426845,31899,-9593.8017578125
1654067544.3444214,32049,-9334.232421875
1654067544.5113838,32099,-9562.3603515625
1654067544.6679773,32149,-9340.53515625
1654067544.8310533,32199,-9312.2822265625
1654067544.9914057,32249,-10016.048828125
1654067545.8098333,32499,-10030.8447265625
1654067546.1353438,32599,-10386.05859375
1654067546.2933748,32649,-9578.99609375
1654067546.6622443,32749,-9738.8798828125
1654067546.8221707,32799,-9562.681640625
1654067547.357668,32949,-9657.1806640625
1654067547.7069776,33049,-9843.0458984375
1654067548.8741791,33399,-9701.3193359375
1654067549.3693678,33549,-9187.91796875
1654067550.3236961,33799,-9365.685546875
1654067550.5432122,33849,-9248.125
1654067551.417326,34049,-10230.904296875
1654067552.2259865,34249,-9559.931640625
1654067552.8097234,34399,-10048.1640625
1654067553.7384727,34649,-9874.8720703125
1654067554.1285489,34749,-9761.7392578125
1654067554.4617403,34849,-9423.806640625
1654067554.632186,34899,-9418.384765625
1654067554.9747908,34999,-9488.12109375
1654067555.4788334,35149,-9948.7392578125
1654067555.9644272,35299,-10024.751953125
