Wall time,Step,Value
1654011625.9566183,99,-9067.25
1654011626.4366064,199,-9212.4326171875
1654011626.900894,299,-9268.81640625
1654011627.3887231,399,-9141.34765625
1654011627.8902848,499,-8893.2841796875
1654011628.3789105,599,-9553.8095703125
1654011628.821723,699,-8996.3349609375
1654011629.3320482,799,-9292.44140625
1654011629.7900784,899,-9117.357421875
1654011630.2251985,999,-9209.21875
1654011630.6762054,1099,-9103.7294921875
1654011631.0944448,1199,-9299.50390625
1654011631.5677032,1299,-9355.3310546875
1654011632.0278661,1399,-9654.1513671875
1654011632.5013535,1499,-9951.7470703125
1654011632.9802225,1599,-9180.1220703125
1654011633.4830756,1699,-9284.3515625
1654011633.930694,1799,-9274.8623046875
1654011634.3912797,1899,-9218.630859375
1654011634.8560386,1999,-8919.3193359375
1654011635.3191128,2099,-9692.306640625
1654011635.766887,2199,-9258.0771484375
1654011636.1768737,2299,-9146.4130859375
1654011636.603133,2399,-9397.216796875
1654011637.017018,2499,-9499.453125
1654011637.438696,2599,-9346.8837890625
1654011637.8342752,2699,-9013.3662109375
1654011638.256915,2799,-9226.853515625
1654011638.6610036,2899,-9128.2666015625
1654011639.0641239,2999,-9566.484375
1654011639.466967,3099,-8978.9931640625
1654011639.863104,3199,-9278.5732421875
1654011640.2776868,3299,-9195.748046875
1654011640.6986558,3399,-8939.9462890625
1654011641.1499565,3499,-8851.052734375
1654011641.574529,3599,-9342.7919921875
1654011641.9765346,3699,-9481.7490234375
1654011642.3937113,3799,-9426.498046875
1654011642.7975047,3899,-9102.9375
1654011643.2173293,3999,-8940.2431640625
1654011643.625109,4099,-8962.5888671875
1654011644.0454054,4199,-9011.9462890625
1654011644.456334,4299,-9467.943359375
1654011644.8996572,4399,-9344.048828125
1654011645.334583,4499,-8897.49609375
1654011645.7900836,4599,-9191.419921875
1654011646.1813977,4699,-9148.2490234375
1654011646.60144,4799,-9351.423828125
1654011647.0182745,4899,-9191.4384765625
1654011647.4572036,4999,-9366.7236328125
1654011647.910835,5099,-9108.509765625
1654011648.3793504,5199,-9122.7412109375
1654011648.830955,5299,-9789.640625
1654011649.2917402,5399,-9254.4189453125
1654011649.7648616,5499,-9244.2431640625
1654011650.2305543,5599,-9249.9306640625
1654011650.7052553,5699,-9150.3896484375
1654011651.1807528,5799,-9334.7998046875
1654011651.6337621,5899,-9166.412109375
1654011652.102496,5999,-9156.5185546875
1654011652.5584922,6099,-9046.5185546875
1654011652.9770296,6199,-9348.16796875
1654011653.3858795,6299,-8940.83984375
1654011653.8123596,6399,-9060.1884765625
1654011654.286694,6499,-9026.490234375
1654011654.8168874,6599,-8975.20703125
1654011655.2547884,6699,-9370.486328125
1654011655.6543117,6799,-9215.2646484375
1654011656.057006,6899,-9175.9111328125
1654011656.4490755,6999,-9308.7919921875
1654011656.8505366,7099,-9552.6953125
1654011657.256344,7199,-9114.0927734375
1654011657.6815276,7299,-9746.80859375
1654011658.0923681,7399,-8910.3310546875
1654011658.5271103,7499,-8870.1181640625
1654011658.97249,7599,-9061.666015625
1654011659.394112,7699,-9577.564453125
1654011659.8266838,7799,-9269.623046875
1654011660.2601695,7899,-8892.169921875
1654011660.6894927,7999,-9257.5087890625
1654011661.1196675,8099,-9243.8330078125
1654011661.5238686,8199,-9377.6455078125
1654011661.938186,8299,-9200.5859375
1654011662.359963,8399,-9334.1220703125
1654011662.7700791,8499,-9219.9375
1654011663.1679542,8599,-8994.0654296875
1654011663.5896282,8699,-9121.8271484375
1654011663.9978738,8799,-8992.5859375
1654011664.4117434,8899,-8719.0966796875
1654011664.8540592,8999,-9087.412109375
1654011665.3022678,9099,-8958.6865234375
1654011665.7611003,9199,-9229.7236328125
1654011666.2271197,9299,-9017.701171875
